#,separator,Bar,BPM,time_unit (s),Rel_timestemp (s),label,continuous
0,1,1,168,0.1786,0.0000,3,0
1,1,1,168,0.1786,0.1786,0,0
2,1,1,168,0.1786,0.3571,0,0
3,1,1,168,0.1786,0.5357,0,0
4,1,1,168,0.1786,0.7143,0,0
5,1,1,168,0.1786,0.8929,0,0
6,1,1,168,0.1786,1.0714,0,0
7,1,1,168,0.1786,1.2500,0,0
8,0,2,168,0.1786,1.4286,1,0
9,0,2,168,0.1786,1.6071,0,0
10,0,2,168,0.1786,1.7857,0,0
11,0,2,168,0.1786,1.9643,0,0
12,0,2,168,0.1786,2.1429,0,0
13,0,2,168,0.1786,2.3214,0,0
14,0,2,168,0.1786,2.5000,0,0
15,0,2,168,0.1786,2.6786,0,0
16,1,3,168,0.1786,2.8571,1,0
17,1,3,168,0.1786,3.0357,0,0
18,1,3,168,0.1786,3.2143,0,0
19,1,3,168,0.1786,3.3929,0,0
20,1,3,168,0.1786,3.5714,0,0
21,1,3,168,0.1786,3.7500,0,0
22,1,3,168,0.1786,3.9286,0,0
23,1,3,168,0.1786,4.1071,0,0
24,0,4,168,0.1786,4.2857,5,1
25,0,4,168,0.1786,4.4643,5,1
26,0,4,168,0.1786,4.6429,5,1
27,0,4,168,0.1786,4.8214,5,1
28,0,4,168,0.1786,5.0000,5,1
29,0,4,168,0.1786,5.1786,5,1
30,0,4,168,0.1786,5.3571,5,1
31,0,4,168,0.1786,5.5357,0,0
32,1,5,168,0.1786,5.7143,3,0
33,1,5,168,0.1786,5.8929,0,0
34,1,5,168,0.1786,6.0714,0,0
35,1,5,168,0.1786,6.2500,0,0
36,1,5,168,0.1786,6.4286,0,0
37,1,5,168,0.1786,6.6071,0,0
38,1,5,168,0.1786,6.7857,0,0
39,1,5,168,0.1786,6.9643,0,0
40,0,6,168,0.1786,7.1429,1,0
41,0,6,168,0.1786,7.3214,0,0
42,0,6,168,0.1786,7.5000,1,0
43,0,6,168,0.1786,7.6786,0,0
44,0,6,168,0.1786,7.8571,1,0
45,0,6,168,0.1786,8.0357,0,0
46,0,6,168,0.1786,8.2143,1,0
47,0,6,168,0.1786,8.3929,0,0
48,1,7,168,0.1786,8.5714,3,0
49,1,7,168,0.1786,8.7500,0,0
50,1,7,168,0.1786,8.9286,0,0
51,1,7,168,0.1786,9.1071,0,0
52,1,7,168,0.1786,9.2857,0,0
53,1,7,168,0.1786,9.4643,0,0
54,1,7,168,0.1786,9.6429,0,0
55,1,7,168,0.1786,9.8214,0,0
56,0,8,168,0.1786,10.0000,0,0
57,0,8,168,0.1786,10.1786,0,0
58,0,8,168,0.1786,10.3571,0,0
59,0,8,168,0.1786,10.5357,0,0
60,0,8,168,0.1786,10.7143,0,0
61,0,8,168,0.1786,10.8929,0,0
62,0,8,168,0.1786,11.0714,0,0
63,0,8,168,0.1786,11.2500,0,0
64,1,9,168,0.1786,11.4286,3,0
65,1,9,168,0.1786,11.6071,0,0
66,1,9,168,0.1786,11.7857,0,0
67,1,9,168,0.1786,11.9643,0,0
68,1,9,168,0.1786,12.1429,0,0
69,1,9,168,0.1786,12.3214,0,0
70,1,9,168,0.1786,12.5000,0,0
71,1,9,168,0.1786,12.6786,0,0
72,0,10,168,0.1786,12.8571,1,0
73,0,10,168,0.1786,13.0357,0,0
74,0,10,168,0.1786,13.2143,1,0
75,0,10,168,0.1786,13.3929,0,0
76,0,10,168,0.1786,13.5714,1,0
77,0,10,168,0.1786,13.7500,0,0
78,0,10,168,0.1786,13.9286,1,0
79,0,10,168,0.1786,14.1071,0,0
80,1,11,168,0.1786,14.2857,5,1
81,1,11,168,0.1786,14.4643,5,1
82,1,11,168,0.1786,14.6429,5,1
83,1,11,168,0.1786,14.8214,5,1
84,1,11,168,0.1786,15.0000,5,1
85,1,11,168,0.1786,15.1786,5,1
86,1,11,168,0.1786,15.3571,5,1
87,1,11,168,0.1786,15.5357,5,1
88,0,12,168,0.1786,15.7143,5,1
89,0,12,168,0.1786,15.8929,5,1
90,0,12,168,0.1786,16.0714,5,1
91,0,12,168,0.1786,16.2500,5,1
92,0,12,168,0.1786,16.4286,5,1
93,0,12,168,0.1786,16.6071,5,1
94,0,12,168,0.1786,16.7857,5,1
95,0,12,168,0.1786,16.9643,5,1
96,1,13,168,0.1786,17.1429,5,1
97,1,13,168,0.1786,17.3214,0,0
98,1,13,168,0.1786,17.5000,0,0
99,1,13,168,0.1786,17.6786,0,0
100,1,13,168,0.1786,17.8571,0,0
101,1,13,168,0.1786,18.0357,0,0
102,1,13,168,0.1786,18.2143,0,0
103,1,13,168,0.1786,18.3929,0,0
104,0,14,168,0.1786,18.5714,0,0
105,0,14,168,0.1786,18.7500,0,0
106,0,14,168,0.1786,18.9286,1,0
107,0,14,168,0.1786,19.1071,0,0
108,0,14,168,0.1786,19.2857,1,0
109,0,14,168,0.1786,19.4643,0,0
110,0,14,168,0.1786,19.6429,0,0
111,0,14,168,0.1786,19.8214,0,0
112,1,15,168,0.1786,20.0000,1,0
113,1,15,168,0.1786,20.1786,0,0
114,1,15,168,0.1786,20.3571,0,0
115,1,15,168,0.1786,20.5357,1,0
116,1,15,168,0.1786,20.7143,0,0
117,1,15,168,0.1786,20.8929,0,0
118,1,15,168,0.1786,21.0714,0,0
119,1,15,168,0.1786,21.2500,0,0
120,0,16,168,0.1786,21.4286,0,0
121,0,16,168,0.1786,21.6071,0,0
122,0,16,168,0.1786,21.7857,1,0
123,0,16,168,0.1786,21.9643,0,0
124,0,16,168,0.1786,22.1429,1,0
125,0,16,168,0.1786,22.3214,0,0
126,0,16,168,0.1786,22.5000,0,0
127,0,16,168,0.1786,22.6786,0,0
128,1,17,168,0.1786,22.8571,1,0
129,1,17,168,0.1786,23.0357,0,0
130,1,17,168,0.1786,23.2143,0,0
131,1,17,168,0.1786,23.3929,1,0
132,1,17,168,0.1786,23.5714,0,0
133,1,17,168,0.1786,23.7500,0,0
134,1,17,168,0.1786,23.9286,0,0
135,1,17,168,0.1786,24.1071,0,0
136,0,18,168,0.1786,24.2857,0,0
137,0,18,168,0.1786,24.4643,0,0
138,0,18,168,0.1786,24.6429,1,0
139,0,18,168,0.1786,24.8214,0,0
140,0,18,168,0.1786,25.0000,1,0
141,0,18,168,0.1786,25.1786,0,0
142,0,18,168,0.1786,25.3571,0,0
143,0,18,168,0.1786,25.5357,0,0
144,1,19,168,0.1786,25.7143,1,0
145,1,19,168,0.1786,25.8929,0,0
146,1,19,168,0.1786,26.0714,0,0
147,1,19,168,0.1786,26.2500,1,0
